,0,1,2,3,4,5
0,735526.0,161.980757622,164.165095,165.35919555,161.825423081,23416500.0
1,735527.0,161.543877705,158.466391,161.815705384,156.961622346,20949800.0
2,735528.0,157.670329979,157.068413,160.582779818,156.398562158,11084800.0
3,735529.0,157.388783945,157.447031,158.078070534,156.82570837,7599400.0
4,735530.0,157.349958,157.349958,157.699451979,156.738338682,6652100.0
5,735533.0,157.272291014,157.14608,158.155738013,157.087833916,4989100.0
6,735534.0,157.272291591,158.825604,158.825604,157.078131181,7895300.0
7,735535.0,159.534295597,158.68969,159.815825619,158.010106723,4739300.0
8,735536.0,158.728516055,159.553716,159.815825806,158.262527964,3896000.0
9,735537.0,160.650728881,159.602245,160.757518709,158.845009014,5818000.0
10,735540.0,159.456628202,159.563419,159.738158223,158.612022605,4688200.0
11,735541.0,159.543998015,157.903316,159.563419201,157.505291868,4246900.0
12,735542.0,158.36931882,157.097551,158.767341982,156.845129943,4104700.0
13,735543.0,157.644915194,157.820866,157.889280453,156.442642027,4067600.0
14,735544.0,157.781759525,158.417118,158.553962546,157.224614551,3494800.0
15,735547.0,158.250937188,159.805111,160.763018913,157.967480327,4958200.0
16,735548.0,160.010369552,159.619391,160.205858828,158.935171203,3534400.0
17,735549.0,158.622376953,158.27049,159.326149881,158.114093301,3377600.0
18,735550.0,158.34868862,159.120876,159.130660385,158.153199344,3239500.0
19,735551.0,158.446440215,160.460008,160.78257112,158.04567728,4976700.0
20,735554.0,160.460008,160.460008,161.251748509,160.029922211,4798900.0
21,735555.0,161.017153425,158.241167,161.036706556,158.241167,5410100.0
22,735556.0,158.39756462,157.791529,158.446440604,157.332135995,3802200.0
23,735557.0,157.322351968,157.019341,157.859958475,156.198277634,4182200.0
24,735558.0,158.182522458,157.293029,158.299812896,157.126862578,4076900.0
25,735561.0,157.899049787,158.495302,160.166767223,157.429873375,6618500.0
26,735562.0,158.984031343,158.114092,159.814879087,157.918602726,4062300.0
27,735563.0,158.280258869,158.299812,158.446439953,157.38099667,3966000.0
28,735565.0,159.081784358,158.514855,159.687805316,157.80131235,2405500.0
29,735568.0,157.996801969,157.89905,159.638944341,157.713345109,4168400.0
